condition_label,medical_abstract
5,"Studies of controlled reperfusion after ischemia. XXI. Reperfusate composition: superiority of blood cardioplegia over crystalloid cardioplegia in limiting reperfusion damage--importance of endogenous oxygen free radical scavengers in red blood cells. Postischemic damage is caused partially by oxygen free radical-mediated injury. This study will show that (1) crystalloid cardioplegia with room air oxygen is deleterious because it is devoid of free radical scavengers and (2) blood cardioplegia limits damage because it contains endogenous free radical scavengers in red blood cells. METHODS: Thirty-two dogs underwent 2 hours of ligation of the left anterior descending coronary artery followed by 20 minutes of regional blood cardioplegic reperfusion on bypass. Ten dogs received only the blood cardioplegic solution (containing its endogenous free radical scavengers); five received initial blood cardioplegia (5 minutes) with endogenous free radical scavengers (catalase and glutathione peroxidase) blocked by aminotriazole and N-ethylmaleimide, respectively; 12 received initial crystalloid cardioplegic solution oxygenated by room air (oxygen tension = 150 mm Hg); seven without and five with exogenous free radical scavengers (superoxide dismutase, catalase, coenzyme Q10); five received initial deoxygenated crystalloid cardioplegic solution (oxygen tension = 6 mm Hg); and five received deoxygenated crystalloid cardioplegic solution. RESULTS: Blood cardioplegia with endogenous free radical scavengers produced the best recovery of systolic shortening (69% systolic shortening) and resulted in the least histochemical damage (11% triphenyltetrazolium chloride nonstaining). The worst recovery and most damage occurred if blood cardioplegia was preceded by oxygenated crystalloid cardioplegia (3% systolic shortening, 48% triphenyltetrazolium chloride nonstaining; p less than 0.05 versus blood cardioplegia) or if free radical scavengers were blocked in the initial period of blood cardioplegia (3% systolic shortening, 41% triphenyltetrazolium chloride nonstaining; p less than 0.05 versus blood cardioplegia). Conversely, deoxygenation or supplementation of oxygenated crystalloid cardioplegic solution with exogenous free radical scavengers restored 60% systolic shortening (p less than 0.05 versus oxygenated crystalloid cardioplegia) and 54% systolic shortening (p less than 0.05 versus oxygenated crystalloid cardioplegia) and reduced damage to 34% and 21% (both p less than 0.05 versus oxygenated crystalloid cardioplegia). CONCLUSION: Blood cardioplegic solutions containing their own endogenous free radical scavengers are superior to crystalloid cardioplegic solutions, because they limit oxygen-mediated perfusion damage and restore contractile function. Initial crystalloid cardioplegic washout negates the salutary effect of blood cardioplegia. Exogenous free radical scavenger supplementation or deoxygenation of the cardioplegic reperfusate is necessary only if crystalloid cardioplegia is used. "
1,Increased expression of the multidrug-resistance gene in undifferentiated sarcoma. We analyzed multidrug-resistance gene (mdr1 gene) expression in a patient with undifferentiated sarcoma of the liver using the cloned cDNA for the mdr1 gene. Tissue samples were available at the time of initial diagnosis and of two intracranial relapses after chemotherapy with a regimen including doxorubicin and teniposide. The level of mdr1 gene expression was increased sevenfold in the intracranial tumor at the time of first relapse and 11-fold at the second relapse. This case may be an example of acquired multidrug resistance associated with overexpression of the mdr1 gene. 
4,"Different plasma ionized calcium correlations with blood pressure in high and low renin normotensive adults in Utah. Plasma ionized calcium levels have been shown to be lower than normotensive control levels in hypertensive patients with low plasma renin activity and higher than control levels in hypertensive patients with high renin activity; they did not differ between high and low plasma renin activity groups of normotensive controls. To see if ionized calcium may have different relationships with blood pressure across renin categories in normotensive individuals, plasma ionized calcium was measured on 875 healthy individuals, ages 3 to 83, who had never been diagnosed as having hypertension. Blood pressures were measured in the sitting, standing, and supine positions, along with pressures measured during two stress maneuvers: isometric handgrip and a 50 degrees tilt from a supine position. There was no linear correlation of blood pressure with plasma ionized calcium in the entire sample of youths or adults. However, after dividing the adults into tertiles based on plasma renin activity, there were significant inverse correlations between ionized calcium and systolic and diastolic blood pressure in the low renin group (r = -0.16 to -0.25, P less than or equal to .05), while the systolic blood pressure correlations were significantly positive in the high renin group (r = 0.14 to 0.22, P less than or equal to .05). Adults with normal renin levels did not have any significant correlations of plasma ionized calcium with blood pressure. These confounding effects of renin were greater for systolic than for diastolic blood pressure. These correlations within renin tertiles occurred even though there were no differences in mean blood pressure, plasma ionized calcium, total plasma protein and plasma sodium across renin categories. "
1,"A case of cecocolic intussusception with complete invagination and intussusception of the appendix with villous adenoma. Villous adenoma of the appendix is a rare neoplasm and intussusception of the appendix is a rare pathologic condition. A very rare case seen in a 35-year-old male with pain in the right lateral abdomen is reported. In this patient, the appendix along with the villous adenoma intussuscepted and invaginated into the cecal lumen, and presented as cecocolic intussusception. A polypoid lesion was diagnosed in the cecum by fiberoptic colonoscopy. Unlike polypoid lesions at other sites in the large intestine, polypoid lesions of the cecum may accompany intussusception and invagination of the appendix. Consequently, caution is required in performing endoscopic polypectomy in cases of polypoid lesions of the cecum. "
2,Gingival and cutaneous xanthomatosis associated with primary biliary cirrhosis. Report of a case. The first comprehensive case report of intraoral xanthomatosis associated with primary biliary cirrhosis is detailed. The lesions were present along the free gingival margin and labial vestibule. Crevicular fluid was noted to be tinged yellow. Generalized cutaneous eruptions were also seen. The xanthomas were attributed to the underlying hyperlipoproteinemia. Advanced progression of the hepatic disease necessitated a liver transplant. Disappearance of both oral and skin lesions were subsequently observed. 
3,"Prevention of cardiovascular disease: risks and benefits of aspirin. Aspirin has been tested for its benefit in preventing cardiovascular disease in randomized trials in three categories of patients. In secondary prevention among those with a history of myocardial infarction (MI), stroke or transient cerebral ischemia, or unstable angina pectoris, 25 randomized trials demonstrated significant reductions from aspirin of 25% for the occurrence of an ""important vascular event"" (nonfatal MI, nonfatal stroke, or vascular death), 32% for nonfatal MI, 27% for nonfatal stroke, and 15% for vascular mortality. Among those evolving an MI, the Second International Study of Infarct Survival (ISIS-2) showed a significant reduction of 23% in five-week vascular mortality among those started on a one-month regimen of daily aspirin within 24 hours of the onset of symptoms of suspected MI. Aspirin also significantly reduced reinfarction, nonfatal stroke, and important vascular events. Finally, in primary prevention, the US Physicians' Health Study (PHS) showed a significant 44% reduction in the occurrence of a first MI among apparently healthy male physicians; numbers of strokes and vascular deaths were insufficient to permit conclusions for these endpoints. Thus, aspirin is of clear benefit in reducing MI, stroke, and vascular death in secondary prevention and among those evolving an MI. It is also beneficial in the primary prevention of MI among men over 40, but data concerning its effects on stroke and vascular death remain inconclusive. "
4,"Efficacy of potassium and magnesium in essential hypertension: a double-blind, placebo controlled, crossover study OBJECTIVE--To evaluate the antihypertensive activity of potassium given alone or in combination with magnesium in patients with mild hypertension. DESIGN--A double blind, randomised, placebo controlled, crossover trial of 32 weeks' duration. SETTINGS--Cardiology outpatient department, Sassoon General Hospitals, Pune, India. PATIENTS--37 Adults with mild hypertension (diastolic blood pressure less than 110 mm Hg). INTERVENTION--Patients received either placebo or potassium 60 mmol/day alone or in combination with magnesium 20 mmol/day in a crossover design. No other drug treatment was allowed. MEASUREMENTS--Blood pressure and heart rate assessed at weekly intervals and biochemical parameters at monthly intervals. RESULTS--Potassium alone or in combination with magnesium produced a significant reduction in systolic and diastolic blood pressures (p less than 0.001) and a significant reduction in serum cholesterol concentration (p less than 0.05); other biochemical variables did not change. Magnesium did not have an additional effect. Urinary potassium excretion increased significantly in the groups who received potassium alone or in combination with magnesium. The drug was well tolerated and compliance was satisfactory. CONCLUSION--Potassium 60 mmol/day lowers arterial blood pressure in patients with mild hypertension. Giving magnesium as well has no added advantage. "
1,"Immunoscintigraphy of ovarian cancer with indium-111-labeled OV-TL 3 F(ab')2 monoclonal antibody. The safety and diagnostic accuracy of immunoscintigraphy with the indium-111-labeled monoclonal antibody OV-TL 3 F(ab')2(111In-OV-TL 3 F(ab')2) for diagnosis and follow-up of ovarian cancer was prospectively studied in 31 patients. Planar and SPECT scintigraphy were performed up to 4 days after i.v. injection of 140 MBq 111In-OV-TL 3 F(ab')2. Surgical evaluation was possible in 22 out of 31 patients. Imaging results were compared with X-ray computed tomography, ultrasound, and CA 125 serum level using the histologically confirmed surgical findings as a ""gold standard."" Apart from a transient rash observed in two patients, no other immediate or delayed adverse reactions were observed. Within the surgically evaluated group, ovarian cancer lesions were detected in 16 out of 17 patients (94%). Of 45 distinct tumor deposits found at operation, 67% were detected and localized with immunoscintigraphy while X-ray computed tomography and ultrasound visualized 53% and 23%, respectively. "
4,"Lung vascular injury after administration of viable hemolysin-forming Escherichia coli in isolated rabbit lungs. Escherichia coli hemolysin, a transmembrane pore-forming exotoxin, is considered an important virulence factor. In the present study, the possible significance of hemolysin production was investigated in a model of septic lung failure through infusion of viable bacteria in isolated rabbit lungs; 10(4) to 10(7) E. coli/ml perfusate caused a dose- and time-dependent appearance of hemolysin, accompanied by release of potassium, thromboxane A2, and PGI2 into the perfusate. Concomitantly, marked pulmonary hypertension developed. Inhibitor studies suggested that the pressor response was predominantly mediated by pulmonary thromboxane generation. Administration of hemolysin-forming E. coli additionally caused a protracted, dose-dependent increase in the lung capillary filtration coefficient, followed by severe edema formation. The permeability increase was independent of lung prostanoid generation. An E. coli strain that releases an inactive form of hemolysin completely failed to provoke the described biophysical and biochemical responses. Preapplication of 2 x 10(8) human granulocytes was without effect in the present experimental model. We conclude that the hemolysin produced by low numbers of E. coli organisms can provoke thromboxane-mediated pulmonary hypertension and severe vascular leakage. E. coli hemolysin and, possibly, other related cytolysins may thus contribute directly to the pathogenesis of acute respiratory failure under conditions of sepsis or pneumonia. "
4,"Impact of the availability of a prior electrocardiogram on the triage of the patient with acute chest pain STUDY OBJECTIVE: To determine whether information from a prior electrocardiogram (ECG) improves diagnostic accuracy in the emergency department (ED) evaluation of patients with acute chest pain. DESIGN: Analysis of prospectively collected data from a cohort study. SETTING: Emergency departments of four community and three university hospitals. PATIENTS: 5,673 patients aged greater than or equal to 30 years who presented to the EDs of participating hospitals for evaluation of acute chest pain, including 772 (14%) with acute myocardial infarction (AMI). MEASUREMENTS AND MAIN RESULTS: After adjusting for clinical characteristics, no significant difference was found in the sensitivities of admission to the hospital or to the coronary care unit (CCU) between AMI patients with and without prior ECGs available for review. However, non-AMI patients with prior ECGs available for review were more likely to avoid CCU admission than were non-AMI patients without prior ECGs. This improvement in specificity was most marked in the 2,024 patients whose current ED ECGs had changes consistent with ischemia or infarction: when a prior ECG was available, non-AMI patients were more than twice as likely to be discharged (26% vs. 12%) and about 1.5 times as likely to avoid CCU admission (39% vs. 27%) (both p less than 0.0001). Admission rates of AMI patients with and without prior ECGs were similar. CONCLUSION: When the current ECG is consistent with ischemia or infarction, the availability of a prior ECG for comparison to determine whether the ECG changes are old or new improves diagnostic accuracy and triage decisions by reducing the admission of patients without AMI or acute ischemic heart disease (increased specificity) without reducing the admission of patients with these diagnoses (unchanged sensitivity). "
1,"Polypoid melanoma: a virulent variant of nodular melanoma. Report of three cases and literature review. We report the cases of three patients with polypoid melanoma. In no case was there microscopic evidence of melanoma cell invasion below the papillary dermis. In the polypoid variant of nodular melanoma, melanoma cells accumulate in large volume above the skin's surface. This increase in tumor volume encourages dislodgment of melanoma cells that are carried to superficial lymphatic vessels without invading the reticular dermis; this feature differentiates polypoid melanoma from the nonpolypoid nodular variant. Although polypoid melanoma is considered the most malignant form of melanoma, our findings, albeit limited to three cases, suggest that early diagnosis and prompt surgical excision may provide a favorable 5-year survival rate. "
4,"Pheochromocytoma and acute myocardial infarction. When a pheochromocytoma is manifested as an acute myocardial illness, diagnosis may be difficult to make. If the tumor is suspected early enough, a workup can be done while the complications of the myocardial illness are being controlled (as in our case). The tumor can then be expeditiously removed before any further problems develop. The case presented here underscores the importance of maintaining a high index of suspicion for a pheochromocytoma in any patient who has an unexpected myocardial event. "
3,"Eosinophilia-myalgia syndrome (L-tryptophan-associated neuromyopathy). Histopathologic study of skeletal muscle biopsy in a patient with eosinophilia-myalgia syndrome following L-tryptophan use showed prominent lymphocytic perineuritis, neuritis, and perimysial fasciitis. The presence of perineuritis and neuritis provides a histopathologic basis for clinical features of neuropathy in eosinophilia-myalgia syndrome and occurred in conjunction with a fasciitis or interstitial myositis that was predominantly perimysial and focally endomysial. "
1,"Aneuploidy in pancreatic insulinomas does not predict malignancy. Nuclear deoxyribonucleic acid (DNA) ploidy studies with paraffin embedded archival material from 14 pancreatic insulinomas were performed by flow cytometry. Clinical follow-up (2 to 17 years; mean, 8 years) was obtained for all patients. Half of the tumors had a normal DNA histogram and half exhibited an abnormal DNA profile consistent with DNA aneuploidy. Six of the seven patients with aneuploid tumors are alive and disease free (2 to 5 years postresection), and one is alive with metastatic disease. Of the seven patients with tumors showing normal DNA profiles, five are alive and disease free, one is dead of disease, and one is alive with metastatic disease. These data suggest that DNA ploidy analysis is unlikely to provide useful prognostic information for patients with insulinomas. "
4,"Intravenous enalaprilat therapy for hypertension. The angiotensin-converting enzyme inhibitor enalapril is available for intravenous administration in the form of enalaprilat. Intravenous enalaprilat is indicated for the management of hypertension when oral therapy is not feasible. However, there are no reports of intravenous enalaprilat therapy exceeding one week in duration. We report the case of a critically ill, 39-year-old woman who received intravenous enalaprilat for the management of hypertension for a period of 21 days. The patient's blood pressure and heart rate were controlled adequately on a regimen of enalaprilat 1.25 mg iv piggyback q6h without any apparent adverse effects. "
2,"Endoscopic management of chronic organoaxial volvulus of the stomach. Endoscopic correction of the chronic organoaxial volvulus of the stomach was attempted in seven cases of primary and three cases of secondary volvulus. Endoscopic correction was successful in six cases of primary volvulus and one case of volvulus secondary to duodenal carcinoma. This paper describes the details of the technique of endoscopic correction of gastric volvulus, and documentation of correction of the volvulus by barium meal study with a follow-up of 5-26 months. "
4,"Auto-PEEP during CPR. An ""occult"" cause of electromechanical dissociation? A 64-year-old man with severe COPD developed refractory nonperfusing sinus rhythm after intubation and positive-pressure ventilation. Fifteen minutes after resuscitative efforts were halted, the patient was noted to have spontaneous respirations and blood pressure, suggesting that dynamic hyperinflation was responsible for the observed electromechanical dissociation (EMD). We recommend a brief trial of apnea for patients with COPD and EMD when conventional measures are unsuccessful. "
3,"Dysmorphogenesis elicited by microinjected acetaminophen analogs and metabolites in rat embryos cultured in vitro. Direct additions of acetaminophen (APAP), 3,5-dimethylacetaminophen, 3-hydroxyacetaminophen or 3-methoxyacetaminophen to the medium of cultured embryos each produced an increased incidence of morphologically similar, abnormally open anterior neuropores. Approximate concentrations required to produce an equal incidence were 0.5 mM, 1.0 mM, 0.1 mM and 0.75 mM, respectively. In contrast, 2.6-dimethylacetaminophen and N-acetyl-p-benzoquinoneimine failed to produce elevated incidences of abnormal neurulation unaccompanied by marked growth retardation. However, with intra-amniotic microinjections, 3-hydroxyacetaminophen and N-acetyl-p-benzoquinoneimine were roughly equipotent for eliciting abnormal neurulation, whereas 3-methoxyacetaminophen required greater than 30-fold higher concentrations. This suggests that N-acetyl-p-benzoquinoneimine does not readily transit the visceral yolk sac and would likely not be a major factor in APAP-elicited neural tube abnormalities unless generated in target tissues. The differential effects produced by two dimethylated (2.6 and 3.5) APAP analogs further suggest that sulfhydryl oxidation is associated more closely than sulfhydryl conjugation with the neurulation defect. Intra-amniotic microinjections of large quantities (3500 ng) of 7-hydroxy-2-acetylaminofluorene (7-OH-AAF) or APAP failed to produce the specific neurulation defect. Microinjections of 7-OH-AAF into the exocoelomic cavity effected the characteristic abnormal neurulation. Conversion by conceptal homogenates of 7-OH-AAF was roughly 7- to 8-fold more rapid than conversion of APAP to respective catechol metabolites, and specific activities in yolk sac tissues were greater than those in the embryo. Rates of conceptal conversion to the quinoneimine were approximately 2- to 3-fold lower than catechol generation. "
2,"Intussusception and the diagnostic value of testing stool for occult blood. A retrospective review was performed to determine the diagnostic value of testing for occult blood in stool of children suspect for intussusception. Ninety-six children had barium enema studies for suspected intussusception. Of the 57 children who had barium enema confirmed intussusception, 29 did not have history or physical findings of gross blood per rectum. Stool was tested for occult blood in 16 of these 29 patients, and 12 (75%) were positive. In comparison, three (20%) of the children who did not have intussusception had stool positive for occult blood. Stool with occult blood was significantly associated with intussusception (P less than .002). The only other clinical factor significantly associated with intussusception was abdominal mass (P less than .02). Vomiting, episodic irritability, poor feeding, abdominal pain and lethargy were not significantly different in the two groups. In conclusion, the authors suggest stool testing for occult blood when evaluating children who present with nonspecific signs and symptoms supportive of intussusception. "
2,"Treatment of anorectal abscess with or without primary fistulectomy. Results of a prospective randomized trial. To determine whether primary fistulectomy should be performed or not at the time of incision and drainage, a prospective, randomized study in 70 patients with anorectal abscess was conducted. Thirty-six patients underwent incision, drainage and fistulectomy with primary partial internal spincterectomy (group I), whereas in 34 patients anorectal abscess was treated by incision and drainage alone (group II). After a median follow-up of 42.5 months, the combined recurrence or persistence rate was 2.9 percent in group I and 40.6 percent in group II (P less than 0.0003, log-rank test). Recurrent abscesses or persistent fistulas were treated by secondary partial internal sphincterectomy. Comparing anal continence before and 1 year after definite treatment, we found increased anal function disturbances in 39.4 percent of the patients in group I and in 21.4 percent of the patients in group II (P less than 0.106, Fisher-exact test). The combined recurrence or persistence rate of 40.6 percent indicates that more than half of the patients with anorectal abscess will have no further problems after simple incision and drainage. This finding, as well as the increased anal function disturbances after partial internal sphincterectomy (either primary or secondary) are the main reasons to reserve fistulectomy as a second stage procedure if necessary. "
2,"Endoscopic and histologic appearance of the gastric mucosa in patients with portal hypertension. To assess reliability of the endoscopic and histologic appearance of the gastric mucosa for diagnosing portal hypertension, 50 patients with portal hypertension and 1323 controls were studied. Endoscopic evidence of mild gastritis was seen more frequently in patients with portal hypertension than in the control group (42% vs. 13.1%, p less than 0.001). The mosaic sign was also seen more frequently in patients with portal hypertension compared with controls (14% vs. 0.9%, p less than 0.001). However, the mosaic sign was found to be nonspecific, and the sensitivity for diagnosis of portal hypertension was only 14%. Biopsy specimens from the stomach of all patients with portal hypertension and 100 controls with a normal endoscopic appearance revealed mucosal vascular congestion in 72% of patients with portal hypertension compared with 59% of controls (NS). There was no correlation between endoscopic and histologic evidence of congestive gastropathy. Similarly, there was no correlation between the severity of mucosal vascular congestion and the degree of inflammatory changes observed in the biopsy specimens; both in the control (r = 0.1) and in patients with portal hypertension (r = 0.14). It is concluded that endoscopic and histologic features of the gastric mucosa in patients with portal hypertension are of low sensitivity and nonspecific and cannot be used to diagnose portal hypertension. "
3,"Lesions of the mid-shaft of the humerus presenting as shoulder capsulitis. We describe three patients who presented with pain and restriction of movement at the shoulder suggestive of capsulitis, but proved to have lesions of the mid-shaft of the humerus. It is important to be aware of the possibility of this cause of a 'frozen shoulder', since radiographs of the shoulder are usually cropped at the mid-humerus and lesions at this level may easily be missed. A radiograph of the entire humerus, or an isotope bone scan, may be more useful than repeated shoulder radiographs in patients whose shoulder symptoms do not respond to standard treatment. "
1,"The transoral approach for the management of intradural lesions at the craniovertebral junction: review of 7 cases. The main difficulty in dealing with intradural lesions located ventrally in the region of the craniovertebral junction (CVJ) is related to their relative inaccessibility. Posterolateral approaches involve some manipulation of the brain stem and provide limited access because of the necessity of working between the cranial nerves. Even then, the view of the ventral midline and across is limited. The transoral approach, which has been widely used for the management of extradural lesions in this area, is also useful for the treatment of intradural lesions. It provides an unimpeded although somewhat restricted, view of the ventral aspect of the CVJ without the need for brain retraction. The cranial nerves and vertebral arteries are not interposed between the surgeon and the lesion. The risks of cerebrospinal fluid leakage and infection are greatly diminished by the use of fibrin adhesive and prolonged diversion of the cerebrospinal fluid. The use of this approach, together with its technical difficulties and results, in the management of seven purely intradural lesions located ventrally at the CVJ, is discussed. "
3,"Hypoglycemia, hypotonia, and cardiomyopathy: the evolving clinical picture of long-chain acyl-CoA dehydrogenase deficiency. Inherited defects in fatty acid oxidation, which have been described and diagnosed with increasing frequency in the last decade, are most commonly attributed to a deficiency in the activity of medium-chain acyl-CoA dehydrogenase. Few cases of the related enzyme defect of long-chain acyl-CoA dehydrogenase activity have been reported. An infant with documented long-chain acyl-CoA dehydrogenase deficiency is described with a detailed metabolic profile, long-term clinical follow-up, and response to treatment. This patient is compared with the seven previously published cases of this disorder in order to stress the unique features of the initial presentation, more subtle late manifestations of the disease, and clinical and biochemical differentiation from the more common medium-chain acyl-CoA dehydrogenase deficiency. This report stresses the enlarging spectrum of the clinical presentation and natural history of this defect in fatty acid oxidation. "
3,"Young-onset Parkinson's disease: a clinical review. Young-onset Parkinson's disease (YOPD) is arbitrarily defined as that which produces initial symptoms between the ages of 21 and 39, inclusive. The special problems and concerns of the patient with YOPD present as much of a challenge and opportunity for the clinician as the disease itself does for the researcher. In contrast to juvenile parkinsonism, which is a heterogeneous group of clinicopathologic entities presenting (also arbitrarily) before age 21, YOPD appears to be the same nosologic entity as older-onset PD. It comprises approximately 5% of referral populations in Western countries and about 10% in Japan. Its annual incidence relative to the population at risk is about 1/10 that of PD at age sixty. YOPD tends to have more gradual progression of parkinsonian signs and symptoms, earlier appearance of levodopa-related dyskinesias and levodopa-dose-related motor fluctuations, and frequent presence of dystonia as an early or presenting sign. Studies conflict with regard to the suspected greater familial frequency and lesser frequency of dementia than in older-onset PD. "
2,"Omeprazole 20 mg three days a week and 10 mg daily in prevention of duodenal ulcer relapse. Double-blind comparative trial. In a double-blind, parallel-group clinical trial of 195 patients with duodenal ulcers who after a short-term study had relief of pain and healed ulcers proved endoscopically, 65 were randomized to receive 20 mg omeprazole 3 days a week (once in the morning from Friday to Sunday), 64 to receive 10 mg omeprazole once daily in the morning, and 66 to receive placebo for up to 6 months. The patients underwent repeat endoscopy with biopsy of the gastric fundic mucosa (qualitative assessment of argyrophilic cell population), assessment of symptoms, and laboratory screening with measurement of basal serum gastrin concentrations at 3 and 6 months or more often if indicated by recurrence of symptoms. At 3 months, endoscopically proved ulcer relapse occurred in 16% receiving 20 mg omeprazole 3 days a week; 21% receiving 10 mg omeprazole daily; and 50% receiving placebo. At 6 months, corresponding rates were 23%, 27%, and 67% with 95% confidence intervals of difference between the placebo group and omeprazole groups of 28%-60% and 24%-56% (P less than 0.00001), respectively, and between omeprazole groups of -19%-11% (NS). No major clinical or laboratory side effects were noted. Thus both omeprazole regimens are effective and safe in preventing duodenal ulcer relapse. "
2,"Differential regulation of liver P-450III cytochromes in choline-deficient rats: implications for the erythromycin breath test as a parameter of liver function. Progressive liver fibrosis in rats develops when they are fed a diet deficient in choline. This diet also results in a pronounced and selective decrease in the liver microsomal content of a phase I drug-metabolizing enzyme belonging to the cytochrome P-450III gene family. Because P-450III cytochromes characteristically catalyze the N-demethylation of erythromycin, we believed that the production of breath CO2 from erythromycin would be dramatically reduced in choline-deficient rats. However, when 12 choline-deficient rats were compared with 9 control rats, the reduction in CO2 production from erythromycin (mean decrease 71%) was essentially identical to that from aminopyrine (mean decrease 69%), a substrate believed to be metabolized normally by the hepatocyte in fibrotic liver disease. Furthermore, we found that the relative erythromycin and aminopyrine demethylase activities were comparable when measured in vitro in liver microsomes prepared from the choline-deficient rats. To determine the molecular basis for the erythromycin demethylase activity in the choline-deficient rats, the liver microsomes were subjected to immunoblot analysis using a variety of polyclonal and monoclonal antibodies capable of distinguishing individual P-450III-related proteins. Our studies confirm that a major erythromycin demethylase belonging to the P-450III family, termed P-450p, was greatly reduced in the choline-deficient rat liver. However, the specific concentration of a second P-450p-related protein was essentially normal and that of a third P-450p-related protein was actually increased in the choline-deficient rat liver. "
3,"Orbital intramuscular schwannoma. In an 8-year-old girl with asymptomatic proptosis, computed tomographic scans showed a large medial orbital mass that contoured the globe anteriorly, bowed the optic nerve laterally, and extended posteriorly to the orbital apex. T1-weighted coronal magnetic resonance images showed the mass to be a diffusely enlarged medial rectus muscle. Histopathologic examination of a medial rectus muscle biopsy specimen disclosed a multinodular, intramuscular schwannoma, separating and infiltrating normal skeletal muscle fibers. The intramuscular location and multinodular configuration of this tumor, together with its occurrence in a child, distinguish it from previous orbital schwannomas. "
5,"Pilot study of nicardipine for acute ischemic stroke. The author performed a pilot study of nicardipine (NC), a Ca(+)+ channel blocker, to study its dosing, toxicity, and possible efficacy for hemispheric cerebral infarction within 12 hours (mean 6.9 hr) of onset to determine the advisability of proceeding with a multi-centered controlled trial. NC was administered IV (3 to 7 mg/hr) X 72 hours by titrating dose to mean arterial blood pressure (MABP not less than 10% of baseline), then orally X 30 days. Forty-three patients have been entered; mean age 63 (range 34-89), 25 male and 18 female. Only 3 had CT evidence of infarct on entry. Results have shown improvement in a 100-point (pt) graded exam (40 pts at entry, 68 pts at 3 months). Of 20 patients completing 3 months' evaluation, 17 improved and none worsened. Sixteen out of 20 were at home and 8 had minimal or no impairment. Mean Barthel's index was 72. Mean maximal serum NC level was 75 ng/mL. MABP decreased from 103 (entry) to 83 (72 hours). A larger controlled study is warranted to determine the efficacy of NC for acute cerebral infarct. "
3,"Levels of the human hepatocyte growth factor in serum of patients with various liver diseases determined by an enzyme-linked immunosorbent assay. We have found a hepatotrophic factor in plasma or sera of patients with fulminant hepatic failure and have purified human hepatocyte growth factor from plasma of these patients. In this study we developed an enzyme-linked immunosorbent assay with high specificity and sensitivity for human hepatocyte growth factor in human serum. This assay for serum human hepatocyte growth factor is a sandwich method consisting of three steps. The standard curve for human hepatocyte growth factor appeared to be linear in the range of 0.20 to 12.50 ng purified human hepatocyte growth factor/ml (2.35 to 147 pmol/L). The assay took about 4 hr. Serum human hepatocyte growth factor values in patients with fulminant hepatic failure measured by enzyme-linked immunosorbent assay showed a strong positive correlation with that by bioassay using rat hepatocytes in primary culture. The mean value of serum human hepatocyte growth factor for 30 normal subjects was 0.24 +/- 0.12 (S.D.) ng/ml; that for 23 patients with fulminant hepatic failure was 8.06 +/- 1.76 (S.E.M.) ng/ml- greater than 30 times greater than the mean value for normal subjects. Serum human hepatocyte growth factor levels in patients with acute hepatitis, chronic hepatitis and cirrhosis were found to be slightly higher than those in normal subjects, but only the increase in serum human hepatocyte growth factor of acute hepatitis patients was statistically significant. The enzyme-linked immunosorbent assay for serum human hepatocyte growth factor should prove useful for serum human hepatocyte growth factor level measurement in patients with various liver diseases. "
1,"Review of hepatic imaging and a problem-oriented approach to liver masses. We believe that imaging of the liver is complicated. The sporadic appearance of incidental benign lesions and variability in scanning techniques, equipment and artifacts add difficulties to the evaluation of liver masses. Therefore we emphasize the need to define the problem for which the patient is being imaged. This information helps in choosing the procedure of choice and the technique needed to give the most expedient, accurate answer. This will also help apply the lowest risk and most cost-efficient care. Imaging algorithms vary depending on the suspected pathological conditions. Dynamic bolus-enhanced CT is the modality of choice in most situations. Tc99m sulfur-colloid liver-spleen scans are helpful in patients with suspected FNH, and Tc99m-tagged-RBC-SPECT scans are recommended to confirm cavernous hemangiomas. Cysts are easily confirmed by US. Although MRI is competitive with CT, it has not become a primary modality because of cost, availability, patient selection and variability of scanner capabilities among the many manufacturers and models. It is hard to predict what future development of imaging techniques will bring. Many feel that significant advances have plateaued. Time and money will more likely be concentrated on improving image resolution, speed of scanning and ability to transfer this information to sites outside of the radiology department. In addition to faster scanning, we expect to soon have available safe intravenous and enteric contrast agents for MRI. Certainly this will lead to a new round of investigations to compare MRI with CT scanning. "
